id,function,E14 log 2,SPB74 log 2,virido log 2,J1074 log 2,AA4 log 2,actinorhodin,prodiginine,CDA,DFO,coelichelin,coelibactin,TW95a,tetrahydroxynaphthalene,hopanoids,eicosapentaenoic acid,NRPS,type 1 PKS,type 1 PKS #2,chalcone synth 1,siderophore,FAS,sugar synthase,geosmin,butyro lactone,chalcone synth 2,sesq synth,deferrioxamine,Coelibactin_,sapB,chaplins,rodlins,aerial hyphae,Hierarchical Clustering (order),transient_osmotic_stress_from_lee,sustained_osmotic_lee,delayed_induction_osmotic_lee,transient_repression_osmotic_lee,Binned virido log2,Binned J1074 log2,Binned E14 log 2,Binned SPB74 log 2,Binned AA4 log2,Binned E14 log 2 (1),Binned SPB74 log 2 (1),Binned J1074 log2 (1),Binned AA4 log2 (1),Binned virido log2 (2)
SCO0014,_-_hypothetical_protein,-0.095286004,-0.356420395,3.382697683,3.598994159,1.70357577,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7331,No,No,No,No,2 < x = 4,2 < x = 4,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,2 < x,x = 2,2 < x
SCO0016,_-_hypothetical_protein,-1.226064008,-1.824643729,0.465283319,1.951327912,0.040610758,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,222,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0017,_-_hypothetical_protein,-0.506951344,-0.169193752,1.036386198,1.117907481,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5239,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,,x = 2,x = 2,x = 2,,x = 2
SCO0018,_-_hypothetical_protein,-0.079748625,-1.471680104,-0.48766008,0.044814156,-0.675049217,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,431,No,No,No,No,#NAME?,0 < x = 2,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0019,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3821,No,No,No,No,,,,,,,,,,
SCO0021,_-_hypothetical_protein,-0.711848495,1.023410431,0.678747191,1.778454023,0.211516338,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4736,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0026,_-_hypothetical_protein,0.055753814,1.006814366,0.005338972,0.770310871,-0.180761018,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4352,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0027,_-_hypothetical_protein,0.177841326,0,-0.119679182,1.117907481,4.328746991,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7575,No,No,No,No,#NAME?,0 < x = 2,0 < x = 2,#NAME?,4 < x,x = 2,x = 2,x = 2,2 < x,x = 2
SCO0028,_-_hypothetical_protein,-1.856080029,-0.622741043,1.177204924,1.117907481,0.040610758,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,205,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0029,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3820,No,No,No,No,,,,,,,,,,
SCO0030,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3819,No,No,No,No,,,,,,,,,,
SCO0031,_-_hypothetical_protein,-0.937635891,0.993894497,1.303160282,1.564154781,2.194228356,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7053,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,0 < x = 2,2 < x = 4,x = 2,x = 2,x = 2,2 < x,x = 2
SCO0032,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3818,No,No,No,No,,,,,,,,,,
SCO0034,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3817,No,No,No,No,,,,,,,,,,
SCO0035,_-_hypothetical_protein,-1.833377406,0,-0.197550034,-0.145912035,-2.280639769,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,152,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0036,_-_hypothetical_protein,-0.215017084,0.482972164,1.499133019,2.287832482,1.783074854,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6334,No,No,No,No,0 < x = 2,2 < x = 4,#NAME?,0 < x = 2,0 < x = 2,x = 2,x = 2,2 < x,x = 2,x = 2
SCO0039,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3816,No,No,No,No,,,,,,,,,,
SCO0041,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3815,No,No,No,No,,,,,,,,,,
SCO0042,_-_hypothetical_protein,-1.789016607,0.544789536,0.451423698,-1.293773998,-1.544351743,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,154,No,No,No,No,0 < x = 2,#NAME?,#NAME?,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0043,_-_hypothetical_protein,1.806855589,1.707417899,3.819758749,4.720245184,3.399030206,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7566,No,No,No,No,2 < x = 4,4 < x,0 < x = 2,0 < x = 2,2 < x = 4,x = 2,x = 2,2 < x,2 < x,2 < x
SCO0045,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3814,No,No,No,No,,,,,,,,,,
SCO0048,_-_hypothetical_protein,-1.614206425,-1.003497204,2.027071924,1.865551266,0.263003179,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6013,No,No,No,No,2 < x = 4,0 < x = 2,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,2 < x
SCO0049,_-_hypothetical_protein,-0.231619354,0.043337438,1.189781261,2.140740439,0.625573258,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6273,No,No,No,No,0 < x = 2,2 < x = 4,#NAME?,0 < x = 2,0 < x = 2,x = 2,x = 2,2 < x,x = 2,x = 2
SCO0050,_-_hypothetical_protein,-0.148283577,0.007441932,1.718313058,1.812351218,0.979774831,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6263,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0056,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3813,No,No,No,No,,,,,,,,,,
SCO0057,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3812,No,No,No,No,,,,,,,,,,
SCO0058,_-_hypothetical_protein,-0.307629112,-0.820645438,-0.797123503,-0.557587441,-0.820156084,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1467,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0060,_-_hypothetical_protein,-0.010022302,-0.824643729,1.444443635,0.762972737,0.040610758,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6057,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0061,_-_hypothetical_protein,-0.305005764,-0.974980923,-0.611489753,-0.308540965,-0.1319914,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2044,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0064,_-_hypothetical_protein,-0.560276456,0.011048566,-0.037712492,-0.188337092,0.565426388,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2611,No,No,No,No,#NAME?,#NAME?,#NAME?,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0069,_-_hypothetical_protein,-0.612327501,-0.256033599,-1.088356462,-0.379889894,-0.536498084,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1432,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0070,_-_hypothetical_protein,-0.547992103,-0.491121847,0.12251554,0.795979386,0.040610758,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2413,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0071,_-_hypothetical_protein,-0.110331195,-1.527518195,-0.773648435,-0.450289565,-1.181297719,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,420,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0072,_-_hypothetical_protein,-0.22683397,-0.520223925,0.654289626,0.585789282,-0.147149028,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2350,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0073,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3811,No,No,No,No,,,,,,,,,,
SCO0074,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3810,No,No,No,No,,,,,,,,,,
SCO0075,_-_hypothetical_protein,0.202237564,-1.325425299,2.44067545,3.004021627,1.343173528,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6534,No,No,No,No,2 < x = 4,2 < x = 4,0 < x = 2,#NAME?,0 < x = 2,x = 2,x = 2,2 < x,x = 2,2 < x
SCO0080,_-_hypothetical_protein,-0.854392777,0.785484297,0.283868508,1.315991701,0.962713834,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4733,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0084,_-_hypothetical_protein,-0.871210437,0.043337438,0.787908938,1.534637642,-0.133273866,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4710,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0085,_-_hypothetical_protein,-0.594984803,-0.207703543,-0.161663995,1.20240263,-0.544351743,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4704,No,No,No,No,#NAME?,0 < x = 2,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0087,_-_hypothetical_protein,0.034840891,-0.373157951,-0.306860137,0.05029191,1.69884023,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4623,No,No,No,No,#NAME?,0 < x = 2,0 < x = 2,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0095,_-_hypothetical_protein,-1.822158674,-1.824643729,0.669831648,2.225116584,-0.959389242,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,198,No,No,No,No,0 < x = 2,2 < x = 4,#NAME?,#NAME?,#NAME?,x = 2,x = 2,2 < x,x = 2,x = 2
SCO0097,_-_hypothetical_protein,-0.510456689,1.045335937,2.201985218,1.959384547,0.930935667,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6874,No,No,No,No,2 < x = 4,0 < x = 2,#NAME?,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,2 < x
SCO0101,_-_hypothetical_protein,-0.454976805,-0.506028084,-0.556950987,-0.723427874,-0.818920272,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1475,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0102,_-_hypothetical_protein,0.891130134,1.668250622,0.685468598,1.319529589,-0.316823883,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6495,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0108,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3809,No,No,No,No,,,,,,,,,,
SCO0109,_-_hypothetical_protein,0.22008543,0.694874226,-0.245231718,-0.472786787,-0.212958507,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2900,No,No,No,No,#NAME?,#NAME?,0 < x = 2,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0112,_-_hypothetical_protein,-2.407121175,0,-1.161663995,-1.293773998,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,260,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,,x = 2,x = 2,x = 2,,x = 2
SCO0119,_-_hypothetical_protein,-0.789016607,1.369161804,5.113472208,6.913832978,4.185646081,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7667,No,No,No,No,4 < x,4 < x,#NAME?,0 < x = 2,4 < x,x = 2,x = 2,2 < x,2 < x,2 < x
SCO0120,_-_hypothetical_protein,-2.160947752,-0.491121847,2.006494575,4.029297642,1.303645163,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6413,No,No,No,No,2 < x = 4,4 < x,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,2 < x,x = 2,2 < x
SCO0123,_-_hypothetical_protein,-0.681610577,-3.146571824,0.85527683,3.07268895,0.526037585,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,234,No,No,No,No,0 < x = 2,2 < x = 4,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,2 < x,x = 2,x = 2
SCO0124,_-_hypothetical_protein,-2.25972156,-1.502715635,2.225710545,4.796784341,1.947501353,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6415,No,No,No,No,2 < x = 4,4 < x,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,2 < x,x = 2,2 < x
SCO0128,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3808,No,No,No,No,,,,,,,,,,
SCO0129,_-_hypothetical_protein,-0.822158674,-2.40960623,-1.269676847,0.482980823,-1.695677268,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,140,No,No,No,No,#NAME?,0 < x = 2,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0131,_-_hypothetical_protein,0.502002736,7.689368802,4.861910979,4.93717741,2.928813597,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7750,No,No,No,No,4 < x,4 < x,0 < x = 2,4 < x,2 < x = 4,x = 2,2 < x,2 < x,2 < x,2 < x
SCO0133,_-_hypothetical_protein,-0.071844753,-1.305125774,-1.269676847,-0.041901057,-1.695677268,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,992,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0134,_-_hypothetical_protein,0.980398899,1.940981949,2.708021584,3.724462218,3.843901672,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7480,No,No,No,No,2 < x = 4,2 < x = 4,0 < x = 2,0 < x = 2,2 < x = 4,x = 2,x = 2,2 < x,2 < x,2 < x
SCO0135,_-_hypothetical_protein,-0.123353142,-0.421278993,0.047608541,0.105620333,0.807875679,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4562,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0139,_-_hypothetical_protein,-1.331950397,-0.992558068,-3.691432953,-0.503177063,-1.958824624,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,90,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0142,_-_hypothetical_protein,-0.205707934,-0.224834174,-0.742197785,-0.873727958,0.010493564,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1691,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0143,_-_hypothetical_protein,-0.4957674,-0.781104783,-1.439401553,-1.459034226,-1.471273715,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,543,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0144,_-_hypothetical_protein,-0.290999377,-0.945678655,-0.604971,-0.710151883,0.007416731,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1950,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0145,_-_hypothetical_protein,-0.54532231,-0.943538945,-0.343037046,-0.252802265,-0.48952678,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2040,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0149,_-_hypothetical_protein,-1.817377224,0,0.369850002,-0.33115808,-2.766744165,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,151,No,No,No,No,0 < x = 2,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0150,_-_hypothetical_protein,0.142907036,0.46149755,-0.788728275,-0.768432174,-0.715022417,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2761,No,No,No,No,#NAME?,#NAME?,0 < x = 2,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0151,_-_hypothetical_protein,0.10913412,-0.330545125,-2.511046425,-1.214408042,-0.429066758,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,304,No,No,No,No,#NAME?,#NAME?,0 < x = 2,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0153,_-_hypothetical_protein,-0.950213814,0.166038347,-0.283816209,0.40761315,-0.704318812,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2145,No,No,No,No,#NAME?,0 < x = 2,#NAME?,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0154,_-_hypothetical_protein,-0.81304416,0.536267771,2.001476372,1.069644487,0.323643236,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5968,No,No,No,No,2 < x = 4,0 < x = 2,#NAME?,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,2 < x
SCO0156,_-_hypothetical_protein,-2.022372007,-3.631998652,-1.384056416,-1.689447441,-2.766744165,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,97,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0157,_-_hypothetical_protein,-0.805492474,1.692712969,3.101874118,1.574587446,2.715127283,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7260,No,No,No,No,2 < x = 4,0 < x = 2,#NAME?,0 < x = 2,2 < x = 4,x = 2,x = 2,x = 2,2 < x,2 < x
SCO0161,_-_hypothetical_protein,-1.341529196,-2.042091368,3.233085759,2.592300978,1.966610176,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6410,No,No,No,No,2 < x = 4,2 < x = 4,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,2 < x,x = 2,2 < x
SCO0162,_-_hypothetical_protein,-2.999178085,3.362715126,3.445244278,2.607367046,1.774098988,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7280,No,No,No,No,2 < x = 4,2 < x = 4,#NAME?,2 < x = 4,0 < x = 2,x = 2,2 < x,2 < x,x = 2,2 < x
SCO0163,_-_hypothetical_protein,-2.28030142,2.340862606,2.936076672,2.14703626,1.661442182,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7276,No,No,No,No,2 < x = 4,2 < x = 4,#NAME?,2 < x = 4,0 < x = 2,x = 2,2 < x,2 < x,x = 2,2 < x
